ledger_id,date_entry,call_writer_oi,call_wri_oi_prev,call_volume,call_ltp,call_iv,expiry_date,strike_price,put_writer_oi,put_wri_oi_prev,put_volume,put_ltp,put_iv,nifty_spot_price,pcr
202664,2025-04-23 23:45:05,31200,31200,0,3840.80,0.00,2025-04-24,20350,5130600,4626375,54652650,0.55,113.28,24328.95,164.44230
202665,2025-04-23 23:45:05,19425,19350,0,3781.55,0.00,2025-04-24,20400,1971450,2546700,6507825,0.80,115.23,24328.95,101.49030
202666,2025-04-23 23:45:05,23475,23475,0,3730.20,0.00,2025-04-24,20450,390600,414450,7317525,0.60,113.28,24328.95,16.63900
202667,2025-04-23 23:45:05,231525,427050,200475,3807.25,0.00,2025-04-24,20500,3090825,3670275,11037900,0.90,115.23,24328.95,13.34990
202668,2025-04-23 23:45:05,750,750,0,3698.90,0.00,2025-04-24,20550,108450,146775,2495025,0.85,115.23,24328.95,144.60000
202669,2025-04-23 23:45:05,11400,11325,0,3599.20,0.00,2025-04-24,20600,176700,137850,2331975,0.70,109.38,24328.95,15.50000
202670,2025-04-23 23:45:05,375,450,0,3206.25,0.00,2025-04-24,20650,92175,70800,977700,0.65,107.42,24328.95,245.80000
202671,2025-04-23 23:45:05,450,450,0,3490.00,0.00,2025-04-24,20700,136875,244425,2389050,0.55,107.42,24328.95,304.16670
202672,2025-04-23 23:45:05,600,675,0,3107.25,0.00,2025-04-24,20750,42375,77100,1023675,1.10,109.38,24328.95,70.62500
202673,2025-04-23 23:45:05,13800,13875,2400,3504.85,0.00,2025-04-24,20800,659175,675825,3804750,0.65,103.52,24328.95,47.76630
202674,2025-04-23 23:45:05,975,1050,0,3003.45,0.00,2025-04-24,20850,131250,116700,1610025,0.80,103.52,24328.95,134.61540
202675,2025-04-23 23:45:05,1050,1050,0,3265.00,0.00,2025-04-24,20900,137400,194250,1550100,1.40,107.42,24328.95,130.85710
202676,2025-04-23 23:45:05,1500,1575,0,2901.15,0.00,2025-04-24,20950,45450,43050,634875,0.60,103.52,24328.95,30.30000
202677,2025-04-23 23:45:05,296625,685125,408075,3307.85,91.80,2025-04-24,21000,4644150,5792550,9681075,0.90,101.56,24328.95,15.65660
202678,2025-04-23 23:45:05,1500,1575,0,2820.00,0.00,2025-04-24,21050,47250,41400,1139250,0.55,99.61,24328.95,31.50000
202679,2025-04-23 23:45:05,1650,1650,150,3101.00,0.00,2025-04-24,21100,175425,281400,2223600,0.90,96.68,24328.95,106.31820
202680,2025-04-23 23:45:05,1425,1500,0,2702.60,0.00,2025-04-24,21150,25875,33600,836550,1.10,97.66,24328.95,18.15790
202681,2025-04-23 23:45:05,8550,8625,150,2985.00,0.00,2025-04-24,21200,1088400,1139850,4971300,1.30,97.66,24328.95,127.29820
202682,2025-04-23 23:45:05,12750,12750,0,2586.00,0.00,2025-04-24,21250,87675,100650,921000,1.30,95.70,24328.95,6.87650
202683,2025-04-23 23:45:05,15900,17025,1425,3015.75,118.16,2025-04-24,21300,1058100,1106550,6248775,1.45,94.73,24328.95,66.54720
202684,2025-04-23 23:45:05,26175,26100,0,2501.90,0.00,2025-04-24,21350,69750,85725,1384425,0.55,91.31,24328.95,2.66480
202685,2025-04-23 23:45:05,21675,22050,750,2913.55,109.13,2025-04-24,21400,1109175,1260450,6410775,1.50,91.31,24328.95,51.17300
202686,2025-04-23 23:45:05,16050,16050,150,2852.90,0.00,2025-04-24,21450,32100,50175,1048500,1.20,84.96,24328.95,2.00000
202687,2025-04-23 23:45:05,119175,227625,111525,2808.80,88.38,2025-04-24,21500,2687700,3135600,9676275,1.40,86.91,24328.95,22.55250
202688,2025-04-23 23:45:05,24525,24375,0,2643.95,0.00,2025-04-24,21550,113175,140550,1710225,0.65,81.05,24328.95,4.61470
202689,2025-04-23 23:45:05,20700,21225,975,2715.00,105.71,2025-04-24,21600,331725,366825,2822475,1.25,84.96,24328.95,16.02540
202690,2025-04-23 23:45:05,30600,30600,0,2181.20,0.00,2025-04-24,21650,94200,143100,2450775,1.50,84.96,24328.95,3.07840
202691,2025-04-23 23:45:05,20250,21225,1275,2615.15,102.54,2025-04-24,21700,569775,767400,4527825,1.40,82.52,24328.95,28.13700
202692,2025-04-23 23:45:05,14250,14100,0,2301.55,0.00,2025-04-24,21750,168450,188250,2869500,1.05,80.08,24328.95,11.82110
202693,2025-04-23 23:45:05,94425,97950,6000,2512.60,93.02,2025-04-24,21800,784050,954150,9119625,1.80,79.10,24328.95,8.30340
202694,2025-04-23 23:45:05,9900,10200,375,2474.00,109.86,2025-04-24,21850,93150,137925,2330850,0.85,77.15,24328.95,9.40910
202695,2025-04-23 23:45:05,116625,122475,6525,2402.00,0.00,2025-04-24,21900,702450,714075,10247400,1.10,76.66,24328.95,6.02320
202696,2025-04-23 23:45:05,35325,35475,375,2354.75,0.00,2025-04-24,21950,72450,96600,2472975,1.20,80.57,24328.95,2.05100
202697,2025-04-23 23:45:05,1630125,1802175,288075,2307.00,0.00,2025-04-24,22000,5182575,7051425,27038700,1.70,75.68,24328.95,3.17930
202698,2025-04-23 23:45:05,38850,38925,675,2255.25,0.00,2025-04-24,22050,140250,145800,2683350,1.85,72.27,24328.95,3.61000
202699,2025-04-23 23:45:05,466125,476475,11700,2203.00,0.00,2025-04-24,22100,748800,976875,6548175,1.75,72.75,24328.95,1.60640
202700,2025-04-23 23:45:05,16500,16875,1950,2167.15,89.60,2025-04-24,22150,93975,148425,2967900,1.55,70.31,24328.95,5.69550
202701,2025-04-23 23:45:05,171600,194625,27150,2106.25,0.00,2025-04-24,22200,1029150,1991850,13284975,1.55,68.36,24328.95,5.99740
202702,2025-04-23 23:45:05,19875,22950,4350,2059.75,70.07,2025-04-24,22250,214575,245325,4186200,1.10,64.45,24328.95,10.79620
202703,2025-04-23 23:45:05,111600,132225,27150,2005.60,0.00,2025-04-24,22300,1023300,1503150,13319775,1.40,64.94,24328.95,9.16940
202704,2025-04-23 23:45:05,41325,41625,3000,1960.60,69.82,2025-04-24,22350,160875,243750,3296925,1.30,62.99,24328.95,3.89290
202705,2025-04-23 23:45:05,539775,552000,53775,1908.10,56.64,2025-04-24,22400,1513875,2340825,9585300,2.40,63.48,24328.95,2.80460
202706,2025-04-23 23:45:05,89925,93600,6675,1858.20,55.66,2025-04-24,22450,298275,457275,5125125,1.70,61.52,24328.95,3.31690
202707,2025-04-23 23:45:05,1266225,1522350,417225,1806.00,0.00,2025-04-24,22500,6936300,7964400,31370775,1.90,60.55,24328.95,5.47790
202708,2025-04-23 23:45:05,49800,57300,8100,1753.40,0.00,2025-04-24,22550,250950,390075,5191725,1.80,59.08,24328.95,5.03920
202709,2025-04-23 23:45:05,452175,480375,62700,1707.00,0.00,2025-04-24,22600,1305825,1920225,14845800,2.00,58.11,24328.95,2.88790
202710,2025-04-23 23:45:05,36000,51000,17400,1659.45,56.64,2025-04-24,22650,324600,445800,6443775,2.15,56.88,24328.95,9.01670
202711,2025-04-23 23:45:05,470400,523800,112275,1601.80,0.00,2025-04-24,22700,1870425,3081000,17772975,2.20,55.18,24328.95,3.97620
202712,2025-04-23 23:45:05,35925,42225,19875,1558.10,46.88,2025-04-24,22750,443025,484275,9676575,2.40,54.20,24328.95,12.33190
202713,2025-04-23 23:45:05,285225,357150,144675,1505.80,0.00,2025-04-24,22800,2291025,3721425,25424700,2.50,53.47,24328.95,8.03230
202714,2025-04-23 23:45:05,59550,65775,14100,1462.65,57.37,2025-04-24,22850,500025,546900,9915750,2.80,52.25,24328.95,8.39670
202715,2025-04-23 23:45:05,413250,462450,81975,1400.35,0.00,2025-04-24,22900,2045700,2631150,26365650,2.65,50.78,24328.95,4.95030
202716,2025-04-23 23:45:05,54300,76125,31650,1359.15,46.14,2025-04-24,22950,540600,752550,11357625,2.95,49.56,24328.95,9.95580
202717,2025-04-23 23:45:05,1210950,1571550,635250,1307.95,38.57,2025-04-24,23000,8316600,11834250,68639925,3.00,48.46,24328.95,6.86780
202718,2025-04-23 23:45:05,105150,128775,41325,1258.25,39.06,2025-04-24,23050,765975,1358025,12834150,3.70,48.10,24328.95,7.28460
202719,2025-04-23 23:45:05,252825,348300,180600,1207.20,0.00,2025-04-24,23100,2678475,2997900,31061925,3.95,46.75,24328.95,10.59420
202720,2025-04-23 23:45:05,71100,96075,34500,1157.10,0.00,2025-04-24,23150,719100,1075350,14051400,4.05,45.29,24328.95,10.11390
202721,2025-04-23 23:45:05,509025,650100,386625,1111.60,43.58,2025-04-24,23200,3837300,3107625,39038775,4.25,43.70,24328.95,7.53850
