ledger_id,date_entry,call_writer_oi,call_wri_oi_prev,call_volume,call_ltp,call_iv,expiry_date,strike_price,put_writer_oi,put_wri_oi_prev,put_volume,put_ltp,put_iv,nifty_spot_price,pcr,rounded_spot_price
180369,2025-04-12 00:20:04,87975,121500,103275,1110.00,23.86,2025-04-17,21800,1305675,1004625,24562200,34.25,28.43,22828.55,14.84140,22800
180371,2025-04-12 00:20:04,116325,133875,134100,1020.65,24.84,2025-04-17,21900,968400,587850,21434925,37.00,27.25,22828.55,8.32500,22800
180373,2025-04-12 00:20:04,624150,665025,845250,933.95,25.54,2025-04-17,22000,5042700,3006750,64381725,44.00,26.18,22828.55,8.07930,22800
180375,2025-04-12 00:20:04,154875,166050,227475,830.45,22.80,2025-04-17,22100,1117575,849150,23918175,50.65,25.33,22828.55,7.21600,22800
180377,2025-04-12 00:20:04,315450,380325,660900,749.00,23.59,2025-04-17,22200,1617675,1132875,34634475,61.95,24.48,22828.55,5.12820,22800
180379,2025-04-12 00:20:04,372075,603525,1178550,660.00,22.74,2025-04-17,22300,2120550,2174025,38574150,74.00,23.73,22828.55,5.69930,22800
180381,2025-04-12 00:20:04,1563000,2345625,4487175,580.00,22.12,2025-04-17,22400,2517450,2906325,48528225,90.70,23.11,22828.55,1.61070,22800
180383,2025-04-12 00:20:04,2022300,3050700,10103250,503.50,22.14,2025-04-17,22500,3977625,2857875,81862650,110.00,22.48,22828.55,1.96690,22800
180385,2025-04-12 00:20:04,902700,1192425,9485400,424.70,21.55,2025-04-17,22600,1374000,659625,52762425,133.40,21.93,22828.55,1.52210,22800
180387,2025-04-12 00:20:04,1034250,911325,35531550,355.00,21.08,2025-04-17,22700,1544775,329775,80949375,165.00,21.51,22828.55,1.49360,22800
180389,2025-04-12 00:20:04,2551200,1254675,107403525,292.40,20.57,2025-04-17,22800,2628375,280500,140241075,201.25,21.10,22828.55,1.03030,22800
180391,2025-04-12 00:20:04,2318100,949050,102982575,235.00,20.22,2025-04-17,22900,1642350,196875,76714500,243.80,20.60,22828.55,0.70850,22800
180393,2025-04-12 00:20:04,4086525,3845175,134002725,183.75,19.75,2025-04-17,23000,1927500,640275,35190675,292.00,20.22,22828.55,0.47170,22800
180395,2025-04-12 00:20:04,1441275,1128450,61656525,141.40,19.65,2025-04-17,23100,284475,114600,5400075,352.60,20.06,22828.55,0.19740,22800
180397,2025-04-12 00:20:04,2876700,2069325,77764725,107.05,19.45,2025-04-17,23200,285375,142800,3783075,417.80,19.83,22828.55,0.09920,22800
180399,2025-04-12 00:20:04,1945800,1775025,56977350,80.80,19.41,2025-04-17,23300,213900,147525,1290075,490.35,20.28,22828.55,0.10990,22800
180401,2025-04-12 00:20:04,1597425,1522575,47946675,60.05,19.52,2025-04-17,23400,91275,59700,507375,574.15,20.40,22828.55,0.05710,22800
180403,2025-04-12 00:20:04,5614425,4081125,99238050,45.65,19.74,2025-04-17,23500,248475,184275,987375,655.00,20.19,22828.55,0.04430,22800
180405,2025-04-12 00:20:04,2590050,2171250,37097775,35.60,20.16,2025-04-17,23600,51375,35175,428400,742.20,20.29,22828.55,0.01980,22800
180407,2025-04-12 00:20:04,3266925,3850200,39443100,27.10,20.57,2025-04-17,23700,38700,44325,54525,837.25,21.36,22828.55,0.01180,22800
180409,2025-04-12 00:20:04,3329100,3121350,37987650,21.85,21.12,2025-04-17,23800,30825,28050,36600,926.30,23.01,22828.55,0.00930,22800
180675,2025-04-12 00:25:04,87975,121500,103275,1110.00,23.86,2025-04-17,21800,1305675,1004625,24562200,34.25,28.43,22828.55,14.84140,22800
180677,2025-04-12 00:25:04,116325,133875,134100,1020.65,24.84,2025-04-17,21900,968400,587850,21434925,37.00,27.25,22828.55,8.32500,22800
180679,2025-04-12 00:25:04,624150,665025,845250,933.95,25.54,2025-04-17,22000,5042700,3006750,64381725,44.00,26.18,22828.55,8.07930,22800
180681,2025-04-12 00:25:04,154875,166050,227475,830.45,22.80,2025-04-17,22100,1117575,849150,23918175,50.65,25.33,22828.55,7.21600,22800
180683,2025-04-12 00:25:04,315450,380325,660900,749.00,23.59,2025-04-17,22200,1617675,1132875,34634475,61.95,24.48,22828.55,5.12820,22800
180685,2025-04-12 00:25:04,372075,603525,1178550,660.00,22.74,2025-04-17,22300,2120550,2174025,38574150,74.00,23.73,22828.55,5.69930,22800
180687,2025-04-12 00:25:04,1563000,2345625,4487175,580.00,22.12,2025-04-17,22400,2517450,2906325,48528225,90.70,23.11,22828.55,1.61070,22800
180689,2025-04-12 00:25:04,2022300,3050700,10103250,503.50,22.14,2025-04-17,22500,3977625,2857875,81862650,110.00,22.48,22828.55,1.96690,22800
180691,2025-04-12 00:25:04,902700,1192425,9485400,424.70,21.55,2025-04-17,22600,1374000,659625,52762425,133.40,21.93,22828.55,1.52210,22800
