ledger_id,date_entry,call_writer_oi,call_wri_oi_prev,call_volume,call_ltp,call_iv,expiry_date,strike_price,put_writer_oi,put_wri_oi_prev,put_volume,put_ltp,put_iv,nifty_spot_price,pcr,rounded_spot_price
203725,2025-04-24 00:00:04,1658325,1838775,470325,1012.20,41.02,2025-04-24,23300,4574175,4293600,46698525,4.85,41.38,24328.95,2.75830,24300
203727,2025-04-24 00:00:04,1844625,2011725,424500,909.50,32.96,2025-04-24,23400,6423600,4685250,40568700,5.60,38.57,24328.95,3.48230,24300
203729,2025-04-24 00:00:04,3423300,3789150,1151850,813.90,32.47,2025-04-24,23500,10799100,8940225,70374900,6.70,36.13,24328.95,3.15460,24300
203731,2025-04-24 00:00:04,715950,889200,689175,713.00,26.12,2025-04-24,23600,6767550,3549975,52719000,7.35,32.96,24328.95,9.45250,24300
203733,2025-04-24 00:00:04,845775,1010625,760725,610.50,24.78,2025-04-24,23700,6164025,5386800,63809625,8.05,29.60,24328.95,7.28800,24300
203735,2025-04-24 00:00:04,1950900,2429550,2434350,510.25,23.74,2025-04-24,23800,5754075,6923925,103848450,9.00,26.31,24328.95,2.94940,24300
203737,2025-04-24 00:00:04,1064625,1627125,4206600,412.70,20.94,2025-04-24,23900,5499675,6680475,120090525,9.60,22.71,24328.95,5.16580,24300
203739,2025-04-24 00:00:04,3390900,4464075,33219750,313.00,17.09,2025-04-24,24000,13526100,10971525,257829375,11.10,18.92,24328.95,3.98890,24300
203741,2025-04-24 00:00:04,3007650,4413525,76550700,215.95,13.06,2025-04-24,24100,9320550,6968550,264766650,12.75,14.86,24328.95,3.09890,24300
203743,2025-04-24 00:00:04,6606225,9263775,345620400,123.30,10.68,2025-04-24,24200,11321400,5060775,436413525,21.05,11.90,24328.95,1.71370,24300
203745,2025-04-24 00:00:04,10924950,6487725,500482950,63.50,11.87,2025-04-24,24300,6849825,1600200,330140175,58.00,12.30,24328.95,0.62700,24300
203747,2025-04-24 00:00:04,8155650,6227175,282323625,36.50,14.59,2025-04-24,24400,1699275,329850,75107625,130.85,14.89,24328.95,0.20840,24300
203749,2025-04-24 00:00:04,10370400,9559200,254897925,22.55,17.15,2025-04-24,24500,922125,635175,23587200,217.10,17.55,24328.95,0.08890,24300
203751,2025-04-24 00:00:04,5184000,4175325,136198800,13.65,19.17,2025-04-24,24600,86325,30375,2533575,310.00,20.32,24328.95,0.01670,24300
203753,2025-04-24 00:00:04,5694075,3714675,108168900,8.80,21.18,2025-04-24,24700,37650,29250,672750,403.25,22.09,24328.95,0.00660,24300
203755,2025-04-24 00:00:04,7207275,4188075,97641525,6.00,23.19,2025-04-24,24800,52350,21525,509625,501.50,24.29,24328.95,0.00730,24300
203757,2025-04-24 00:00:04,5412975,3290475,61844325,4.10,24.84,2025-04-24,24900,9225,8325,31650,597.05,25.39,24328.95,0.00170,24300
203759,2025-04-24 00:00:04,14081550,12513450,109203600,3.25,27.59,2025-04-24,25000,486525,635325,574425,698.10,29.91,24328.95,0.03460,24300
203761,2025-04-24 00:00:04,6594225,2838900,55118175,2.75,29.54,2025-04-24,25100,23925,27375,5250,801.00,36.01,24328.95,0.00360,24300
203763,2025-04-24 00:00:04,6233850,2724750,53295900,2.00,31.25,2025-04-24,25200,11400,17325,17025,897.45,36.01,24328.95,0.00180,24300
203765,2025-04-24 00:00:04,4176375,3278025,43140900,1.70,33.45,2025-04-24,25300,3675,4275,1875,998.50,40.53,24328.95,0.00090,24300
204059,2025-04-24 00:05:05,1658325,1838775,470325,1012.20,41.02,2025-04-24,23300,4574175,4293600,46698525,4.85,41.38,24328.95,2.75830,24300
204061,2025-04-24 00:05:05,1844625,2011725,424500,909.50,32.96,2025-04-24,23400,6423600,4685250,40568700,5.60,38.57,24328.95,3.48230,24300
204063,2025-04-24 00:05:05,3423300,3789150,1151850,813.90,32.47,2025-04-24,23500,10799100,8940225,70374900,6.70,36.13,24328.95,3.15460,24300
204065,2025-04-24 00:05:05,715950,889200,689175,713.00,26.12,2025-04-24,23600,6767550,3549975,52719000,7.35,32.96,24328.95,9.45250,24300
204067,2025-04-24 00:05:05,845775,1010625,760725,610.50,24.78,2025-04-24,23700,6164025,5386800,63809625,8.05,29.60,24328.95,7.28800,24300
204069,2025-04-24 00:05:05,1950900,2429550,2434350,510.25,23.74,2025-04-24,23800,5754075,6923925,103848450,9.00,26.31,24328.95,2.94940,24300
204071,2025-04-24 00:05:05,1064625,1627125,4206600,412.70,20.94,2025-04-24,23900,5499675,6680475,120090525,9.60,22.71,24328.95,5.16580,24300
204073,2025-04-24 00:05:05,3390900,4464075,33219750,313.00,17.09,2025-04-24,24000,13526100,10971525,257829375,11.10,18.92,24328.95,3.98890,24300
204075,2025-04-24 00:05:05,3007650,4413525,76550700,215.95,13.06,2025-04-24,24100,9320550,6968550,264766650,12.75,14.86,24328.95,3.09890,24300
204077,2025-04-24 00:05:05,6606225,9263775,345620400,123.30,10.68,2025-04-24,24200,11321400,5060775,436413525,21.05,11.90,24328.95,1.71370,24300
204079,2025-04-24 00:05:05,10924950,6487725,500482950,63.50,11.87,2025-04-24,24300,6849825,1600200,330140175,58.00,12.30,24328.95,0.62700,24300
204081,2025-04-24 00:05:05,8155650,6227175,282323625,36.50,14.59,2025-04-24,24400,1699275,329850,75107625,130.85,14.89,24328.95,0.20840,24300
204083,2025-04-24 00:05:05,10370400,9559200,254897925,22.55,17.15,2025-04-24,24500,922125,635175,23587200,217.10,17.55,24328.95,0.08890,24300
204085,2025-04-24 00:05:05,5184000,4175325,136198800,13.65,19.17,2025-04-24,24600,86325,30375,2533575,310.00,20.32,24328.95,0.01670,24300
204087,2025-04-24 00:05:05,5694075,3714675,108168900,8.80,21.18,2025-04-24,24700,37650,29250,672750,403.25,22.09,24328.95,0.00660,24300
204089,2025-04-24 00:05:05,7207275,4188075,97641525,6.00,23.19,2025-04-24,24800,52350,21525,509625,501.50,24.29,24328.95,0.00730,24300
204091,2025-04-24 00:05:05,5412975,3290475,61844325,4.10,24.84,2025-04-24,24900,9225,8325,31650,597.05,25.39,24328.95,0.00170,24300
204093,2025-04-24 00:05:05,14081550,12513450,109203600,3.25,27.59,2025-04-24,25000,486525,635325,574425,698.10,29.91,24328.95,0.03460,24300
204095,2025-04-24 00:05:05,6594225,2838900,55118175,2.75,29.54,2025-04-24,25100,23925,27375,5250,801.00,36.01,24328.95,0.00360,24300
204097,2025-04-24 00:05:05,6233850,2724750,53295900,2.00,31.25,2025-04-24,25200,11400,17325,17025,897.45,36.01,24328.95,0.00180,24300
204099,2025-04-24 00:05:05,4176375,3278025,43140900,1.70,33.45,2025-04-24,25300,3675,4275,1875,998.50,40.53,24328.95,0.00090,24300
204393,2025-04-24 00:10:05,1658325,1838775,470325,1012.20,41.02,2025-04-24,23300,4574175,4293600,46698525,4.85,41.38,24328.95,2.75830,24300
204395,2025-04-24 00:10:05,1844625,2011725,424500,909.50,32.96,2025-04-24,23400,6423600,4685250,40568700,5.60,38.57,24328.95,3.48230,24300
204397,2025-04-24 00:10:05,3423300,3789150,1151850,813.90,32.47,2025-04-24,23500,10799100,8940225,70374900,6.70,36.13,24328.95,3.15460,24300
204399,2025-04-24 00:10:05,715950,889200,689175,713.00,26.12,2025-04-24,23600,6767550,3549975,52719000,7.35,32.96,24328.95,9.45250,24300
204401,2025-04-24 00:10:05,845775,1010625,760725,610.50,24.78,2025-04-24,23700,6164025,5386800,63809625,8.05,29.60,24328.95,7.28800,24300
204403,2025-04-24 00:10:05,1950900,2429550,2434350,510.25,23.74,2025-04-24,23800,5754075,6923925,103848450,9.00,26.31,24328.95,2.94940,24300
204405,2025-04-24 00:10:05,1064625,1627125,4206600,412.70,20.94,2025-04-24,23900,5499675,6680475,120090525,9.60,22.71,24328.95,5.16580,24300
204407,2025-04-24 00:10:05,3390900,4464075,33219750,313.00,17.09,2025-04-24,24000,13526100,10971525,257829375,11.10,18.92,24328.95,3.98890,24300
204409,2025-04-24 00:10:05,3007650,4413525,76550700,215.95,13.06,2025-04-24,24100,9320550,6968550,264766650,12.75,14.86,24328.95,3.09890,24300
204411,2025-04-24 00:10:05,6606225,9263775,345620400,123.30,10.68,2025-04-24,24200,11321400,5060775,436413525,21.05,11.90,24328.95,1.71370,24300
204413,2025-04-24 00:10:05,10924950,6487725,500482950,63.50,11.87,2025-04-24,24300,6849825,1600200,330140175,58.00,12.30,24328.95,0.62700,24300
204415,2025-04-24 00:10:05,8155650,6227175,282323625,36.50,14.59,2025-04-24,24400,1699275,329850,75107625,130.85,14.89,24328.95,0.20840,24300
204417,2025-04-24 00:10:05,10370400,9559200,254897925,22.55,17.15,2025-04-24,24500,922125,635175,23587200,217.10,17.55,24328.95,0.08890,24300
204419,2025-04-24 00:10:05,5184000,4175325,136198800,13.65,19.17,2025-04-24,24600,86325,30375,2533575,310.00,20.32,24328.95,0.01670,24300
204421,2025-04-24 00:10:05,5694075,3714675,108168900,8.80,21.18,2025-04-24,24700,37650,29250,672750,403.25,22.09,24328.95,0.00660,24300
204423,2025-04-24 00:10:05,7207275,4188075,97641525,6.00,23.19,2025-04-24,24800,52350,21525,509625,501.50,24.29,24328.95,0.00730,24300
204425,2025-04-24 00:10:05,5412975,3290475,61844325,4.10,24.84,2025-04-24,24900,9225,8325,31650,597.05,25.39,24328.95,0.00170,24300
204427,2025-04-24 00:10:05,14081550,12513450,109203600,3.25,27.59,2025-04-24,25000,486525,635325,574425,698.10,29.91,24328.95,0.03460,24300
204429,2025-04-24 00:10:05,6594225,2838900,55118175,2.75,29.54,2025-04-24,25100,23925,27375,5250,801.00,36.01,24328.95,0.00360,24300
204431,2025-04-24 00:10:05,6233850,2724750,53295900,2.00,31.25,2025-04-24,25200,11400,17325,17025,897.45,36.01,24328.95,0.00180,24300
204433,2025-04-24 00:10:05,4176375,3278025,43140900,1.70,33.45,2025-04-24,25300,3675,4275,1875,998.50,40.53,24328.95,0.00090,24300
203836,2025-04-24 00:00:05,181725,165600,61425,1070.00,24.52,2025-04-30,23300,1028100,834825,4412325,24.10,22.46,24328.95,5.65740,24300
203838,2025-04-24 00:00:05,212100,228375,63900,971.00,15.26,2025-04-30,23400,688200,532725,3306975,26.40,21.58,24328.95,3.24470,24300
203840,2025-04-24 00:00:05,507375,504000,343575,875.30,15.50,2025-04-30,23500,1952925,1615875,9169125,32.25,20.39,24328.95,3.84910,24300
203842,2025-04-24 00:00:05,202725,203925,108900,781.05,15.47,2025-04-30,23600,829050,634350,4473525,36.75,19.36,24328.95,4.08950,24300
203844,2025-04-24 00:00:05,369825,382575,182550,686.15,14.89,2025-04-30,23700,1095375,1018650,6644625,42.90,18.23,24328.95,2.96190,24300
203846,2025-04-24 00:00:05,294000,370500,440625,594.00,14.43,2025-04-30,23800,1484625,1029525,9571875,50.95,17.43,24328.95,5.04970,24300
