date_entry,strike_price,put_writer_oi,put_wri_oi_prev,put_volume,put_ltp,expiry_date,nifty_spot_price
2025-05-27 11:16:04,23400,1769400,1906875,5522850,2.40,2025-05-29,24911.45
2025-05-27 11:21:05,23400,1764225,1906875,5619450,2.30,2025-05-29,24896.90
2025-05-27 11:26:04,23400,1759125,1906875,5712975,2.45,2025-05-29,24985.60
2025-05-27 11:31:05,23400,1761375,1906875,5859750,2.65,2025-05-29,25055.65
2025-05-27 11:36:04,23400,1765200,1906875,6261750,2.45,2025-05-29,25014.60
2025-05-27 11:40:05,23400,1748850,1906875,6420300,2.40,2025-05-29,24972.00
2025-05-27 11:46:05,23400,1747800,1906875,6574800,2.45,2025-05-29,24966.35
2025-05-27 11:51:05,23400,1751775,1906875,6628725,2.35,2025-05-29,24916.30
2025-05-27 11:56:06,23400,1731075,1906875,6693900,2.35,2025-05-29,24968.30
2025-05-27 12:01:05,23400,1736025,1906875,6753000,2.45,2025-05-29,24932.55
2025-05-27 12:06:05,23400,1736850,1906875,6835200,2.55,2025-05-29,24956.70
2025-05-27 12:11:05,23400,1747125,1906875,6986775,2.45,2025-05-29,24942.65
2025-05-27 12:16:05,23400,1736400,1906875,7089450,2.55,2025-05-29,24947.20
2025-05-27 12:21:05,23400,1722450,1906875,7176675,2.50,2025-05-29,24925.70
2025-05-27 12:26:05,23400,1693800,1906875,7363800,2.40,2025-05-29,24889.35
2025-05-27 12:31:05,23400,1679625,1906875,7610025,2.50,2025-05-29,24821.05
2025-05-27 12:36:04,23400,1681425,1906875,7761225,2.60,2025-05-29,24864.30
2025-05-27 12:41:05,23400,1674600,1906875,7836600,2.85,2025-05-29,24856.40
2025-05-27 12:46:04,23400,1686750,1906875,7975125,2.85,2025-05-29,24873.70
2025-05-27 12:51:05,23400,1675950,1906875,8070900,2.80,2025-05-29,24846.40
2025-05-27 12:56:05,23400,1670775,1906875,8143950,2.90,2025-05-29,24846.60
2025-05-27 13:01:04,23400,1704150,1906875,8247225,2.85,2025-05-29,24823.10
2025-05-27 13:06:05,23400,1670850,1906875,8304225,2.85,2025-05-29,24811.75
2025-05-27 13:11:05,23400,1645575,1906875,8412900,2.80,2025-05-29,24826.65
2025-05-27 13:16:05,23400,1622700,1906875,8508375,2.45,2025-05-29,24843.60
2025-05-27 13:21:05,23400,1623600,1906875,8536950,2.40,2025-05-29,24824.05
2025-05-27 13:31:04,23400,1632750,1906875,8702100,2.30,2025-05-29,24822.30
2025-05-27 13:36:05,23400,1629900,1906875,8822700,2.30,2025-05-29,24823.15
2025-05-27 13:41:05,23400,1625775,1906875,8864175,2.20,2025-05-29,24836.10
2025-05-27 13:46:05,23400,1626675,1906875,8934075,2.20,2025-05-29,24851.15
2025-05-27 15:11:05,23400,1627200,1906875,11476725,1.45,2025-05-29,24837.95
2025-05-27 15:16:05,23400,1676775,1906875,11926725,1.50,2025-05-29,24829.65
2025-05-27 15:21:05,23400,1661775,1906875,12094875,1.55,2025-05-29,24823.05
2025-05-27 15:26:05,23400,1661850,1906875,12378375,1.60,2025-05-29,24820.55
2025-05-27 15:31:05,23400,1656675,1906875,12550350,1.45,2025-05-29,24826.20
2025-05-27 15:35:05,23400,1656675,1906875,12550350,1.45,2025-05-29,24826.20
