date_entry,strike_price,put_writer_oi,put_wri_oi_prev,put_volume,put_ltp,expiry_date,nifty_spot_price
2025-04-12 00:20:04,21400,1237200,593025,15466050,24.40,2025-04-17,22828.55
2025-04-12 00:25:04,21400,1237200,593025,15466050,24.40,2025-04-17,22828.55
2025-04-12 00:30:03,21400,1237200,593025,15466050,24.40,2025-04-17,22828.55
2025-04-12 00:35:04,21400,1237200,593025,15466050,24.40,2025-04-17,22828.55
2025-04-12 00:45:04,21400,1237200,593025,15466050,24.40,2025-04-17,22828.55
2025-04-12 00:50:04,21400,1237200,593025,15466050,24.40,2025-04-17,22828.55
2025-04-12 00:55:04,21400,1237200,593025,15466050,24.40,2025-04-17,22828.55
2025-04-12 01:00:04,21400,1237200,593025,15466050,24.40,2025-04-17,22828.55
2025-04-12 01:05:03,21400,1237200,593025,15466050,24.40,2025-04-17,22828.55
2025-04-12 01:10:04,21400,1237200,593025,15466050,24.40,2025-04-17,22828.55
2025-04-12 01:15:04,21400,1237200,593025,15466050,24.40,2025-04-17,22828.55
2025-04-12 01:20:04,21400,1237200,593025,15466050,24.40,2025-04-17,22828.55
2025-04-12 01:25:03,21400,1237200,593025,15466050,24.40,2025-04-17,22828.55
2025-04-12 01:30:04,21400,1237200,593025,15466050,24.40,2025-04-17,22828.55
2025-04-12 01:35:04,21400,1237200,593025,15466050,24.40,2025-04-17,22828.55
2025-04-12 01:40:04,21400,1237200,593025,15466050,24.40,2025-04-17,22828.55
2025-04-12 01:45:04,21400,1237200,593025,15466050,24.40,2025-04-17,22828.55
2025-04-12 01:50:04,21400,1237200,593025,15466050,24.40,2025-04-17,22828.55
2025-04-12 01:55:04,21400,1237200,593025,15466050,24.40,2025-04-17,22828.55
2025-04-12 17:28:04,21400,1237200,593025,15466050,24.40,2025-04-17,22828.55
2025-04-12 17:35:05,21400,1237200,593025,15466050,24.40,2025-04-17,22828.55
2025-04-12 17:40:04,21400,1237200,593025,15466050,24.40,2025-04-17,22828.55
2025-04-12 17:45:04,21400,1237200,593025,15466050,24.40,2025-04-17,22828.55
2025-04-12 00:20:04,21400,334425,374025,1271100,55.20,2025-04-24,22828.55
2025-04-12 00:25:04,21400,334425,374025,1271100,55.20,2025-04-24,22828.55
2025-04-12 00:30:04,21400,334425,374025,1271100,55.20,2025-04-24,22828.55
2025-04-12 00:35:04,21400,334425,374025,1271100,55.20,2025-04-24,22828.55
2025-04-12 00:45:04,21400,334425,374025,1271100,55.20,2025-04-24,22828.55
2025-04-12 00:50:04,21400,334425,374025,1271100,55.20,2025-04-24,22828.55
2025-04-12 00:55:04,21400,334425,374025,1271100,55.20,2025-04-24,22828.55
2025-04-12 01:00:04,21400,334425,374025,1271100,55.20,2025-04-24,22828.55
2025-04-12 01:05:04,21400,334425,374025,1271100,55.20,2025-04-24,22828.55
2025-04-12 01:10:05,21400,334425,374025,1271100,55.20,2025-04-24,22828.55
2025-04-12 01:15:05,21400,334425,374025,1271100,55.20,2025-04-24,22828.55
2025-04-12 01:20:04,21400,334425,374025,1271100,55.20,2025-04-24,22828.55
2025-04-12 01:25:04,21400,334425,374025,1271100,55.20,2025-04-24,22828.55
2025-04-12 01:30:04,21400,334425,374025,1271100,55.20,2025-04-24,22828.55
2025-04-12 01:35:04,21400,334425,374025,1271100,55.20,2025-04-24,22828.55
2025-04-12 01:40:04,21400,334425,374025,1271100,55.20,2025-04-24,22828.55
2025-04-12 01:45:05,21400,334425,374025,1271100,55.20,2025-04-24,22828.55
2025-04-12 01:50:04,21400,334425,374025,1271100,55.20,2025-04-24,22828.55
2025-04-12 01:55:05,21400,334425,374025,1271100,55.20,2025-04-24,22828.55
2025-04-12 17:28:05,21400,334425,374025,1271100,55.20,2025-04-24,22828.55
2025-04-12 17:35:05,21400,334425,374025,1271100,55.20,2025-04-24,22828.55
2025-04-12 17:40:05,21400,334425,374025,1271100,55.20,2025-04-24,22828.55
2025-04-12 17:45:05,21400,334425,374025,1271100,55.20,2025-04-24,22828.55
2025-04-12 00:20:04,21400,110325,79125,348750,77.20,2025-04-30,22828.55
2025-04-12 00:25:05,21400,110325,79125,348750,77.20,2025-04-30,22828.55
2025-04-12 00:30:04,21400,110325,79125,348750,77.20,2025-04-30,22828.55
2025-04-12 00:35:05,21400,110325,79125,348750,77.20,2025-04-30,22828.55
2025-04-12 00:45:05,21400,110325,79125,348750,77.20,2025-04-30,22828.55
2025-04-12 00:50:04,21400,110325,79125,348750,77.20,2025-04-30,22828.55
2025-04-12 00:55:05,21400,110325,79125,348750,77.20,2025-04-30,22828.55
2025-04-12 01:00:05,21400,110325,79125,348750,77.20,2025-04-30,22828.55
2025-04-12 01:05:04,21400,110325,79125,348750,77.20,2025-04-30,22828.55
2025-04-12 01:10:05,21400,110325,79125,348750,77.20,2025-04-30,22828.55
2025-04-12 01:15:05,21400,110325,79125,348750,77.20,2025-04-30,22828.55
2025-04-12 01:20:05,21400,110325,79125,348750,77.20,2025-04-30,22828.55
2025-04-12 01:25:04,21400,110325,79125,348750,77.20,2025-04-30,22828.55
2025-04-12 01:30:05,21400,110325,79125,348750,77.20,2025-04-30,22828.55
2025-04-12 01:35:04,21400,110325,79125,348750,77.20,2025-04-30,22828.55
2025-04-12 01:40:04,21400,110325,79125,348750,77.20,2025-04-30,22828.55
2025-04-12 01:45:05,21400,110325,79125,348750,77.20,2025-04-30,22828.55
2025-04-12 01:50:04,21400,110325,79125,348750,77.20,2025-04-30,22828.55
2025-04-12 01:55:05,21400,110325,79125,348750,77.20,2025-04-30,22828.55
2025-04-12 17:28:05,21400,110325,79125,348750,77.20,2025-04-30,22828.55
2025-04-12 17:35:05,21400,110325,79125,348750,77.20,2025-04-30,22828.55
2025-04-12 17:40:05,21400,110325,79125,348750,77.20,2025-04-30,22828.55
